Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8
341151.2781561945,340297.79914591304,337769.54862708435,341645.3411156346,337099.53273529204,333316.0082478533,340177.6361677213,342369.5376359865
341135.7213420536,340301.5542389815,337770.0850689513,341643.19534816686,337080.7572699496,333317.0811315872,340176.0268421205,342370.07407785347
341157.1790167307,340307.4550995177,337762.03844094736,341648.5597668362,337117.7717587676,333329.95573639346,340172.27174905204,342375.97493838967
341166.29852846847,340309.60086698545,337765.7935340159,341652.31485990464,337122.59973556997,333328.88285265956,340161.5429117135,342383.48512452666
341167.90785406926,340323.54835552553,337770.0850689513,341647.48688310233,337131.1828054408,333338.5388062643,340152.95984184265,342373.29272905504
341201.16724981874,340325.69412299327,337786.1783249591,341670.01744151325,337139.7658753116,333341.75745746586,340169.05309785047,342377.58426399046
341166.29852846847,340314.9652856547,337785.6418830922,341673.7725345818,337126.35482863843,333338.00236439734,340184.6099119914,342385.09445012745
341197.94859861716,340325.69412299327,337779.204580689,341681.81916258566,337136.54722411005,333345.51255053433,340182.46414452366,342388.8495431959
341166.83497033536,340321.9390299248,337780.8139062898,341673.2360927148,337118.84464250144,333342.8303411997,340198.02095866454,342393.6775199983
341163.0798772669,340317.11105312244,337780.8139062898,341686.1106975211,337114.01666569914,333343.90322493354,340201.2396098661,342406.5521248045
341162.54343539994,340324.0847973925,337787.25120869296,341689.8657905896,337123.6726193038,333355.168504139,340200.1667261323,342403.8699154699
341153.9603655291,340331.5949835295,337788.86053429375,341672.163208981,337115.62599129986,333360.5329228083,340204.99470293464,342395.28684559907
341179.1731332747,340328.3763323279,337792.0791854953,341693.62088365806,337141.3752009124,333369.6524345461,340206.0675866685,342403.33347360295
341189.36552874633,340331.5949835295,337791.00630176143,341683.42848818644,337163.36931745644,333373.40752761456,340202.31249359995,342398.50549680064
341188.8290868794,340347.15179767035,337800.66225536616,341687.1835812549,337156.9320150533,333388.42789988854,340195.87519119686,342410.84365973994
341205.9952266211,340343.3967046019,337803.3444647008,341703.27683726273,337175.17103852885,333390.03722548933,340205.5311448015,342416.20807840925
341197.4121567503,340352.51621633966,337810.3182089708,341708.64125593205,337161.75999185565,333392.182992957,340207.67691226926,342419.4267296108
341192.04773808096,340356.8077512751,337811.39109270467,341682.8920463195,337158.0048987871,333390.03722548933,340222.6972845432,342414.0623109415
341228.525785032,340361.6357280774,337806.56311590236,341703.8132791297,337187.50920146814,333400.76606282784,340206.0675866685,342423.1818226793
341179.1731332747,340356.2713094081,421875.0502914251,-4478674.8264640365,1146272.1999016048,-3353887.123332873,-1666143.3775595878,1146074.2528527086
341220.47915702814,340360.0264024766,337824.80213937786,17.166139741675824,1364832.5639763551,1361407.9190978908,1351267.022045496,1366780.9208370354
341216.1876220927,340355.7348675412,337808.70888337004,341694.6937673919,337170.87950359343,333392.71943482396,340254.88379655883,342424.25470641314
341212.96897089115,340355.1984256743,337806.56311590236,341700.5946279281,337194.4829457382,333393.7923185578,340251.12870349037,342433.9106600178
341231.20799436665,340371.2916816821,337809.7817671039,341708.1048140651,337171.95238732727,333398.62029536016,340245.7642848211,342435.5199856186
341239.2546223706,340354.66198380734,337839.2860697849,341735.4633492784,337190.19141080277,333381.9905974854,340261.321098962,342436.5928693525
341212.96897089115,340364.31793741207,337841.43183725263,341730.0989306091,337196.6287132059,333406.66692336404,340248.44649415574,342445.7123810902
341248.37413410837,340371.2916816821,337839.2860697849,341740.29132608074,337209.50331801217,333407.203365231,340239.8634242849,342443.0301717556
341232.81731996743,340363.24505367817,337846.259814055,341749.4108378185,337214.8677366815,333406.66692336404,340251.6651453573,342448.9310322918
341231.20799436665,340366.46370487974,337858.5979769943,341760.676117024,337179.99901533115,333401.3025046948,340267.75840136514,342448.9310322918
341238.18173863675,340372.9010072829,337848.4055815227,341746.19218661694,337208.9668761453,333420.07797003724,340262.3939826958,342451.0767997595
341210.8232034234,340389.5307051576,337843.5776047203,341727.9531631414,337203.0660156091,333421.687295638,340272.58637816744,342773.47836178285
341298.7996695995,340401.33242623,337839.2860697849,341746.19218661694,337231.4974345562,333420.07797003724,340255.95668029273,342456.4412184288
